Date,Location,Winner,Loser,Score,Notes
10/28/1922,"Bloomington, IN",Indiana,Michigan State,14–6,no content
11/5/1927,"Bloomington, IN",Indiana,Michigan State,33–7,no content
11/18/1939,"East Lansing, MI",Tie,Tie,7–7,no content
11/9/1940,"Bloomington, IN",Indiana,Michigan State,20–0,no content
11/4/1950,"East Lansing, MI",Michigan State,Indiana,35–0,no content
11/17/1951,"Bloomington, IN",Michigan State,Indiana,30–26,no content
11/8/1952,"Bloomington, IN",Michigan State,Indiana,41–14,no content
10/17/1953,"East Lansing, MI",Michigan State,Indiana,47–18,no content
10/9/1954,"Bloomington, IN",Michigan State,Indiana,21–14,no content
9/24/1955,"Bloomington, IN",Michigan State,Indiana,20–13,no content
10/13/1956,"East Lansing, MI",Michigan State,Indiana,53–6,no content
9/28/1957,"East Lansing, MI",Michigan State,Indiana,54–0,no content
11/8/1958,"Bloomington, IN",Indiana,Michigan State,6–0,no content
10/24/1959,"East Lansing, MI",Michigan State,Indiana,14–6,no content
10/22/1960,"Bloomington, IN",Michigan State,Indiana,35–0,no content
10/28/1961,"East Lansing, MI",Michigan State,Indiana,35–0,no content
10/27/1962,"Bloomington, IN",Michigan State,Indiana,26–8,no content
10/19/1963,"East Lansing, MI",Michigan State,Indiana,20–3,no content
10/17/1964,"Bloomington, IN",Indiana,Michigan State,27–20,no content
11/13/1965,"East Lansing, MI",Michigan State,Indiana,27–13,no content
11/12/1966,"Bloomington, IN",Michigan State,Indiana,37–19,no content
11/11/1967,"East Lansing, MI",Michigan State,Indiana,14–13,no content
11/9/1968,"East Lansing, MI",Indiana,Michigan State,24–22,no content
11/1/1969,"East Lansing, MI",Indiana,Michigan State,16–0,no content
10/31/1970,"Bloomington, IN",Michigan State,Indiana,32–7,no content
11/17/1973,"East Lansing, MI",Michigan State,Indiana,10–9,no content
11/16/1974,"Bloomington, IN",Michigan State,Indiana,19–10,no content
11/8/1975,"Bloomington, IN",Michigan State,Indiana,14–6,no content
11/6/1976,"East Lansing, MI",Michigan State,Indiana,23–0,no content
10/15/1977,"Bloomington, IN",Tie,Tie,13–13,no content
10/21/1978,"East Lansing, MI",Michigan State,Indiana,49–14,no content
10/31/1981,"East Lansing, MI",Michigan State,Indiana,26–3,no content
10/30/1982,"Bloomington, IN",Michigan State,Indiana,22–14,no content
10/15/1983,"Bloomington, IN",Indiana,Michigan State,24–12,no content
10/13/1984,"East Lansing, MI",Michigan State,Indiana,13–6,no content
11/9/1985,"Bloomington, IN",Michigan State,Indiana,35–16,no content
11/8/1986,"East Lansing, MI",Indiana,Michigan State,17–14,no content
11/14/1987,"East Lansing, MI",Michigan State,Indiana,27–3,no content
11/12/1988,"Bloomington, IN",Michigan State,Indiana,38–12,no content
11/4/1989,"Bloomington, IN",Michigan State,Indiana,51–20,no content
11/3/1990,"East Lansing, MI",Michigan State,Indiana,45–20,no content
10/5/1991,"Bloomington, IN",Indiana,Michigan State,31–0,no content
10/3/1992,"East Lansing, MI",Michigan State,Indiana,42–31,no content
10/30/1993,"Bloomington, IN",Michigan State,Indiana,10–0,no content
10/29/1994,"East Lansing, MI",Michigan State,Indiana,27–21,no content
11/11/1995,"Bloomington, IN",Michigan State,Indiana,31–3,no content
11/9/1996,"East Lansing, MI",Michigan State,Indiana,38–15,no content
10/11/1997,"Bloomington, IN",Michigan State,Indiana,38–6,no content
10/10/1998,"East Lansing, MI",Michigan State,Indiana,38–31,no content
11/10/2001,"East Lansing, MI",Indiana,Michigan State,37–28,no content
11/9/2002,"Bloomington, IN",Michigan State,Indiana,56–21,no content
10/4/2003,"East Lansing, MI",Michigan State,Indiana,31–3,no content
9/25/2004,"Bloomington, IN",Michigan State,Indiana,30–20,no content
10/29/2005,"East Lansing, MI",Michigan State,Indiana,46–15,no content
10/28/2006,"Bloomington, IN",Indiana,Michigan State,46–21,no content
10/13/2007,"East Lansing, MI",Michigan State,Indiana,52–27,no content
9/27/2008,"Bloomington, IN",Michigan State,Indiana,42–29,no content
11/19/2011,"East Lansing, MI",Michigan State,Indiana,55–3,no content
10/6/2012,"Bloomington, IN",Michigan State,Indiana,31–27,no content
10/12/2013,"East Lansing, MI",Michigan State,Indiana,42–28,no content
10/18/2014,"Bloomington, IN",Michigan State,Indiana,56–17,no content
10/24/2015,"East Lansing, MI",Michigan State,Indiana,52–26,no content
10/1/2016,"Bloomington, IN",Indiana,Michigan State,24–21OT,no content
10/21/2017,"East Lansing, MI",Michigan State,Indiana,17–9,no content
9/22/2018,"Bloomington, IN",Michigan State,Indiana,35–21,no content
9/28/2019,"East Lansing, MI",Michigan State,Indiana,40–31,no content
11/14/2020,"East Lansing, MI",Indiana,Michigan State,24–0,no content
10/16/2021,"Bloomington, IN",Michigan State,Indiana,20–15,no content
