10/12/1898,"Ann Arbor, MI",michigan,msu,39–2,do these games really count? 
10/8/1902,"Ann Arbor, MI",michigan,msu,119–0,do these games really count? 
10/12/1907,"Ann Arbor, MI",michigan,msu,46–0,do these games really count? 
10/10/1908,"East Lansing, MI",tie,tie,0–0,do these games really count? 
10/15/1910,"Ann Arbor, MI",michigan,msu,6–3,do these games really count? 
10/14/1911,"East Lansing, MI",michigan,msu,15–3,do these games really count? 
10/12/1912,"Ann Arbor, MI",michigan,msu,55–7,do these games really count? 
10/18/1913,"Ann Arbor, MI",msu,michigan,12–7,do these games really count? 
10/17/1914,"East Lansing, MI",michigan,msu,3–0,do these games really count? 
10/23/1915,"Ann Arbor, MI",msu,michigan,24–0,do these games really count? 
10/21/1916,"Ann Arbor, MI",michigan,msu,9–0,do these games really count? 
10/20/1917,"Ann Arbor, MI",michigan,msu,27–0,do these games really count? 
11/23/1918,"Ann Arbor, MI",michigan,msu,21–6,do these games really count? 
10/18/1919,"Ann Arbor, MI",michigan,msu,26–0,do these games really count? 
10/16/1920,"Ann Arbor, MI",michigan,msu,35–0,do these games really count? 
10/15/1921,"Ann Arbor, MI",michigan,msu,30–0,do these games really count? 
11/4/1922,"Ann Arbor, MI",michigan,msu,63–0,do these games really count? 
10/27/1923,"Ann Arbor, MI",michigan,msu,37–0,do these games really count? 
10/11/1924,"East Lansing, MI",michigan,msu,7–0,do these games really count? 
10/3/1925,"Ann Arbor, MI",michigan,msu,39–0,do these games really count? 
10/9/1926,"Ann Arbor, MI",michigan,msu,55–3,do these games really count? 
10/8/1927,"Ann Arbor, MI",michigan,msu,21–0,do these games really count? 
11/17/1928,"Ann Arbor, MI",michigan,msu,3–0,do these games really count? 
10/5/1929,"Ann Arbor, MI",michigan,msu,17–0,do these games really count? 
10/4/1930,"Ann Arbor, MI",tie,tie,0–0,do these games really count? 
11/14/1931,"Ann Arbor, MI",tie,tie,0–0,do these games really count? 
10/1/1932,"Ann Arbor, MI",michigan,msu,26–0,do these games really count? 
10/7/1933,"Ann Arbor, MI",michigan,msu,20–6,do these games really count? 
10/6/1934,"Ann Arbor, MI",msu,michigan,16–0,do these games really count? 
10/5/1935,"Ann Arbor, MI",msu,michigan,25–6,do these games really count? 
10/3/1936,"Ann Arbor, MI",msu,michigan,21–7,do these games really count? 
10/2/1937,"Ann Arbor, MI",msu,michigan,19–14,do these games really count? 
10/1/1938,"Ann Arbor, MI",michigan,msu,14–0,do these games really count? 
10/7/1939,"Ann Arbor, MI",michigan,msu,26–13,do these games really count? 
10/5/1940,"Ann Arbor, MI",michigan,msu,21–14,do these games really count? 
9/27/1941,"Ann Arbor, MI",michigan,msu,19–7,do these games really count? 
10/3/1942,"Ann Arbor, MI",michigan,msu,20–0,do these games really count? 
9/29/1945,"Ann Arbor, MI",michigan,msu,40–0,do these games really count? 
11/9/1946,"Ann Arbor, MI",michigan,msu,55–7,do these games really count? 
9/27/1947,"Ann Arbor, MI",michigan,msu,55–0,do these games really count? 
9/25/1948,"East Lansing, MI",michigan,msu,13–7,do these games really count? 
9/24/1949,"Ann Arbor, MI",michigan,msu,7–3,no content
9/30/1950,"Ann Arbor, MI",msu,michigan,14–7,no content
9/29/1951,"Ann Arbor, MI",msu,michigan,25–0,no content
9/27/1952,"Ann Arbor, MI",msu,michigan,27–13,no content
11/14/1953,"East Lansing, MI",msu,michigan,14–6,no content
11/13/1954,"Ann Arbor, MI",michigan,msu,33–7,no content
10/1/1955,"Ann Arbor, MI",michigan,msu,14–7,no content
10/6/1956,"Ann Arbor, MI",msu,michigan,9–0,no content
10/12/1957,"Ann Arbor, MI",msu,michigan,35–6,no content
10/4/1958,"East Lansing, MI",tie,tie,12–12,no content
10/3/1959,"Ann Arbor, MI",msu,michigan,34–8,no content
10/1/1960,"East Lansing, MI",msu,michigan,24–17,no content
10/14/1961,"Ann Arbor, MI",msu,michigan,28–0,no content
10/13/1962,"East Lansing, MI",msu,michigan,28–0,no content
